code,name
"15M","KAVACIK YENİ CAMİ - ÜSKÜDAR"
"15N","ARKBOYU - ÜSKÜDAR"
"15P","SOĞUKSU MAHALLESİ - ÜSKÜDAR"
"15R","RASATHANE - ÜSKÜDAR"
"15S","SULTANMURAT - ÜSKÜDAR"
"15SD","ORTAÇEŞME/SULTANİYE-DUDULLU İMES"
"15SK","SULTANMURAT - KADIKÖY"
"15ŞN","ŞENEVLER - ÜSKÜDAR"
"15T","TOKATKÖY - ÜSKÜDAR"
"15TA","TÜRK ALMAN ÜNİVERSİTESİ-KAVACIK"
"15TK","TOKATKÖY - UZUNÇAYIR"
"15TY","TOKATKÖY / BEYKOZ - YENİMAHALLE"
"15U","TUFAN - ÜSKÜDAR"
"15Y","YENİMAHALLE - ÜSKÜDAR"
"15YK","YENİMAHALLE - KADIKÖY"
"15Z","GÜZELTEPE - ÜSKÜDAR"
"16A","PENDİK - ÜSKÜDAR"
"16D","ALTKAYNARCA / PENDİK - KADIKÖY"
"16F","FINDIKLI MAHALLESİ - HAREM"
"16M","ACARLAR SİTESİ / ATAŞEHİR - ÜSKÜDAR"
"16U","UĞUR MUMCU - ÜSKÜDAR"
"16YK","Y.TEPE ÜNİV. / FINDIKLI MAHALLESİ - KOZYATAĞI METRO"
"17L","KÜÇÜKYALI LOJMANLARI / MARMARA ÜNİV. - BOSTANCI"
"17S","UĞUR MUMCU - BOSTANCI"
"18D","SULTANBEYLİ - UZUNÇAYIR"
"18K","SULTANBEYLİ - UZUNÇAYIR"
"18UK","UZUNDERE-KOZYATAĞI"
"18YS","YENİDOĞAN-SULTANBEYLİ"
"19A","YENİDOĞAN - AYRILIK ÇEŞMESİ"
"19D","ÜMRANİYE - BOSTANCI"
"19E","YENİDOĞAN/ ATAŞEHİR - KOZYATAĞI METRO"
"19EK","YENİDOĞAN/ ATAŞEHİR - UZUNÇAYIR"
"19F","YEDİTEPE ÜNİV. / FINDIKLI MAHALLESİ - KADIKÖY"
"19K","ACARLAR SİTESİ / KAYIŞDAĞI - KADIKÖY"
"19M","ACARLAR SİTESİ / ATAŞEHİR - KADIKÖY"
"19S","YENİDOĞAN / SARIGAZİ - KADIKÖY"
"19SK","YENIDOĞAN/SARIGAZI-KOZYATAĞI METRO"
"19T","FERHATPAŞA - UZUNÇAYIR"
"19V","VEYSEL KARANİ / SAMANDIRA - KOZYATAĞI METRO"
"19Y","FERHATPAŞA - KADIKÖY"
"19YK","YENİDOĞAN-KAYIŞDAĞI"
"20D","SARIGAZİ/YENİŞEHİR-KADIKÖY"
"20E","ESATPAŞA - UZUNÇAYIR"
"20K","KAZIM KARABEKİR - KADIKÖY"
"20Ü","ÜMRANİYE TEPEÜSTÜ - UZUNÇAYIR"
"22B","BEBEK - KABATAŞ"
"22RE","FATİH SULTAN MEHMET - BEŞİKTAŞ"
"25A","RUMELİKAVAĞI - HACIOSMAN METRO"
"25C","TARABYAÜSTÜ / FERAHEVLER - İSTİNYE"
"25E","SARIYER - BALTALİMANI"
"25G","SARIYER - TAKSİM"
"25S1","HACIOSMAN METRO-SARIYER"
"25S2","HACIOSMAN METRO-SARIYER"
"25Y","HACIOSMAN METRO - YENİ UYUM SİTESİ"
"26A","FULYA MAHALLESİ - EMİNÖNÜ"
"26B","FULYA MAHALLESİ - KABATAŞ"
"27E","ŞİRİNTEPE - KABATAŞ"
"27SE","SEYRANTEPE - KABATAŞ"
"27T","ŞİRİNTEPE - ŞİŞLİ"
"28T","TOPKAPI - BEŞİKTAŞ"
"29A","DERBENT MAHALLESİ - BEŞİKTAŞ"
"29B","FATİH SULTAN MEHMET - 4.LEVENT METRO"
"29C","TARABYAÜSTÜ - KABATAŞ"
"29D","FERAHEVLER - KABATAŞ"
"29E","MASLAK GAZETECİLER SİTESİ - BEŞİKTAŞ"
"29GM","MASLAK GAZETECİLER SİTESİ - 4.LEVENT METRO"
"29M1","HACIOSMAN METRO - FERAHEVLER / İSTİNYE"
"29M2","HACIOSMAN METRO - İSTİNYE / FERAHEVLER"
"29Ş","İSTİNYE DEREİÇİ - ŞİŞLİ"
"300B","SİLİVRİ BÜYÜKÇAVUŞLU-TÜYAP"
"300C","SİLİVRİ ÇANTA/SANCAKTEPE-TÜYAP"
"300D","SİLİVRİ DEĞİRMENKÖY-TÜYAP"
"300G","SİLİVRİ GÜMÜŞYAKA-TÜYAP"
"300M","SİLİVRİ MİMARSİNAN/KAVAKLI-TÜYAP"
"303A","SİLİVRİ - AVCILAR METROBÜS"
"303B","MARMARA CEZAEVİ - OTOGAR"
"30A","BEŞİKTAŞ - MECİDİYEKÖY"
"30D","ORTAKÖY DEREBOYU - YENİKAPI"
"30M","BEŞİKTAŞ - MECİDİYEKÖY"
"31E","KUYUMCUKENT - EMİNÖNÜ"
"31Y","TOKİ AYAZMA - YENİKAPI"
"320A","SULTANBEYLİ MİMARSİNAN / SAMANDIRA - ÜSKÜDAR"
"320Y","YENİDOĞAN - KOZYATAĞI METRO"
"32A","CEVATPAŞA - AKSARAY"
"32M","CEVATPAŞA - MECİDİYEKÖY"
"32T","CEVATPAŞA - TAKSİM"
"336A","BALABAN KÖYÜ - MESCİDİ SELAM"
"336E","SULTANÇİFTLİĞİ - EMİNÖNÜ"
"336G","TAŞOLUK PERON - TEKSTİLKENT METRO"
"336H","HADIMKÖY - MESCİDİ SELAM"
"336K","YENİKÖY / KARABURUN - MESCİD-İ SELAM"
"336M","ARNAVUTKÖY - MECİDİYEKÖY"
"336Y","CEBECİ - YENİKAPI MARMARAY"
"33B","GİYİMKENT / BİRLİK MAHALLESİ - EMİNÖNÜ"
"33ES","GİYİMKENT - EMİNÖNÜ"
"33M","GİYİMKENT - MECİDİYEKÖY"
